protocol,Source Port,Destination Port,Packet Length,TTL,Anomaly Score,label
0,53977,21138,1038,35,0.39842516873946365,0
1,19969,34715,240,247,0.9778596338119685,0
2,61617,5545,939,54,0.507560249110526,0
2,7563,50248,323,60,0.5522677524502678,0
0,50546,13276,1368,129,0.7123626634428192,0
2,34649,39754,1480,180,0.4845384811256467,0
2,5910,63249,457,61,0.22456861927675142,1
1,46737,34551,1213,121,0.537277846548448,0
0,8509,53694,394,179,0.9442688708907204,0
1,32479,63389,400,175,0.4099109881684718,1
1,47472,19642,1005,98,0.679640954999673,0
1,17791,6214,33,208,0.9780341888856849,1
1,48189,59342,762,132,0.8299223129834905,0
1,29477,14486,688,89,0.6590341330833237,0
1,11768,15606,519,203,0.7359964883305143,0
1,38126,37638,1434,56,0.936483248017075,1
0,54466,50714,584,54,0.9597521044003566,0
2,52901,20391,549,218,0.9689681303219958,0
1,13250,9868,511,160,0.625641628202522,0
1,28893,58467,1428,128,0.38471164986523654,0
1,23612,3982,1239,174,0.13315312895629994,0
1,14464,9494,774,159,0.3855480013404029,0
1,32733,5683,319,112,0.942955454735619,0
1,48812,5783,834,240,0.8897970805923896,0
2,23519,50096,566,211,0.5236596620628786,1
2,38043,53703,746,217,0.537007286593924,0
1,45972,29800,750,200,0.3089203495949695,1
2,49932,41906,847,203,0.4545078900704814,0
0,1946,16985,621,35,0.7144484939393951,0
1,53091,60045,1351,236,0.4024307256477919,0
0,28550,45781,1295,227,0.18798387207603384,0
0,8981,22761,1051,166,0.5408595788250777,0
1,64073,25994,787,77,0.225336911454328,1
2,53222,1525,894,40,0.9742875560126001,0
0,49588,52919,1251,246,0.3903399140119541,0
1,59342,49403,956,192,0.9096649716091162,0
0,35022,26121,150,64,0.2255539966036243,0
0,44419,79,627,115,0.18920900530577645,0
0,25055,35892,45,163,0.6169011290397374,1
0,11030,25474,1497,96,0.7793790783033206,0
2,61302,39833,654,137,0.5667645638523757,0
0,38725,45837,1229,65,0.22979568360525937,0
0,48087,8418,503,250,0.03789436288399606,0
0,26963,13363,699,116,0.6182888211910051,1
2,50169,1210,1094,119,0.1310372253655483,0
0,21348,37922,24,238,0.3431763870323312,0
0,23891,4899,608,223,0.6757847536712315,1
2,1227,62182,1203,184,0.09802344058293189,0
2,17568,18563,227,86,0.1272514797839558,0
2,16923,64511,276,168,0.06166620730740413,0
0,30087,65514,1248,48,0.9960791289068266,0
2,26368,10872,30,180,0.38707676860158124,0
2,4772,7611,968,219,0.9057951677346345,0
0,40510,43846,27,172,0.2935856384242821,1
2,52757,27383,1452,162,0.7532025651404958,0
0,2117,15792,955,227,0.2190666163123789,0
1,16252,58048,51,35,0.49832470964825026,0
2,21908,35313,559,251,0.8246157392957796,0
1,26207,38291,1024,38,0.8163343988950826,0
0,17058,2371,406,57,0.7942807173626745,1
2,6734,19666,1271,234,0.8237344130385529,0
0,43524,4711,659,55,0.21147228130587925,0
1,20283,329,226,41,0.48221627256038646,0
0,36983,46452,1361,44,0.4848714745971586,1
2,52013,38348,576,156,0.8905024873479125,0
2,34481,20613,367,203,0.2968918293994288,0
1,21167,45891,812,70,0.9314958933890483,0
0,61317,6795,253,178,0.45079573630609904,1
2,63704,32889,1087,210,0.6697870031774188,1
1,3127,6750,1025,50,0.26888311227933437,1
2,1389,46532,756,107,0.4102981068313073,1
2,47802,50117,961,83,0.7098009320691404,0
0,45559,20609,1185,245,0.5127471418510093,0
2,17127,15451,195,206,0.9307080116883338,0
0,33534,3676,468,151,0.7371249658974774,0
2,25500,54847,611,189,0.5644029255105999,0
1,13766,18461,101,77,0.8866697566522082,1
2,13415,56018,154,235,0.6655563887887443,0
0,37964,38412,875,252,0.6473204734204323,0
0,29925,57677,1220,180,0.24637133314762727,1
1,56209,11561,1426,106,0.3948569655282109,0
2,33025,54402,1286,155,0.6833036526040215,0
2,16647,50469,1184,79,0.8917917114831578,0
1,3402,50349,459,93,0.3155474736449152,0
2,51381,32464,1099,89,0.2154856219429847,1
2,22396,31664,716,49,0.5936959788158558,0
0,45823,48152,438,139,0.06719709810271313,1
2,39461,3171,107,218,0.7145417014500052,0
2,36527,58774,675,250,0.7031385432874808,0
1,31770,33124,1051,79,0.3549660309861551,0
1,28947,28811,234,94,0.8926776533449017,0
0,10891,9719,571,43,0.5021811415391275,0
2,42282,61242,522,246,0.6457649506929368,0
2,34748,62638,718,65,0.20957848193833784,0
2,65310,29,264,220,0.41734033516,0
0,10330,62371,328,133,0.8624175402697681,0
0,40415,47600,250,118,0.2129395476323428,0
1,15932,17398,1426,212,0.3905743775924688,0
0,28105,43663,174,56,0.31807654442812994,0
2,51650,41788,1218,221,0.15111018486478012,1
2,38252,45407,867,163,0.28971791812753556,1
0,24410,47658,134,253,0.23277228357521673,1
2,47778,2025,1433,253,0.9235936304613274,1
2,46430,57643,330,172,0.741078804542796,0
0,29326,38608,1012,201,0.3161015817828243,0
0,61839,59210,319,80,0.7633390532427098,1
2,56572,61361,1061,109,0.022139953033871396,0
2,20236,13504,803,215,0.5265247107711399,0
2,64368,54944,31,206,0.2503345637346731,1
1,36642,10304,1447,167,0.11432207180851417,0
1,47091,17139,251,86,0.8837585283384886,0
1,11722,25346,974,247,0.1993405342625726,0
0,62138,52888,749,49,0.8223910929462823,0
1,53140,50391,1321,66,0.4132226774917712,1
0,5618,29506,1396,248,0.01429077004070034,0
0,26549,59558,1037,240,0.7325328293010253,1
1,15306,65055,1018,191,0.5963597582193679,1
1,50077,1907,322,183,0.3441718831678193,0
1,15358,40168,560,38,0.28154593392626337,0
2,30203,7962,489,44,0.07369125237043472,0
1,63791,26141,832,157,0.9414255948352722,1
2,7668,58563,96,250,0.4939848846920857,0
0,36642,53754,1039,143,0.08552451757610802,1
2,48725,58702,43,100,0.8686797177444705,0
1,33957,12032,1058,131,0.2788331728178167,0
0,61854,15129,695,121,0.20360271573465483,1
0,44493,15664,544,73,0.28093743834221874,0
0,34711,64321,366,140,0.5645714586071113,0
2,42097,34229,191,190,0.0740564844970365,0
1,53680,15683,1370,233,0.48175690912267644,1
0,18399,56822,731,141,0.8957434451243126,1
0,49507,15194,508,57,0.18817159584612386,1
0,56223,28562,397,245,0.33118877215224385,0
2,31950,50569,1207,107,0.39612196505165276,0
2,37631,43814,391,63,0.5862207115272452,0
1,18666,7767,1019,122,0.9192542465263115,0
2,25017,29845,996,156,0.3945392082424255,0
0,45410,29433,1467,157,0.06915284067776362,0
1,58882,29505,776,83,0.3479508614309924,0
0,47311,50581,496,179,0.1900854125998448,1
0,22212,37147,401,134,0.6517744788191033,1
2,33620,40298,174,136,0.029262109167332184,1
1,28796,20859,276,199,0.2919299710730734,0
2,31881,61638,693,218,0.5451735072326199,0
2,62802,60407,87,236,0.2773342060495543,0
1,11800,3072,363,45,0.5509952833452542,0
0,33859,16940,1320,203,0.11471232218718319,0
0,10812,24932,692,135,0.9428054879896225,1
1,6684,50716,410,148,0.2909068073298867,0
0,5502,44461,1492,245,0.9230008393898834,0
1,9234,1041,278,241,0.3258354395041454,0
1,11946,2687,326,79,0.7818401911729878,0
2,37313,12667,1138,124,0.24618735746125298,0
1,64585,62120,969,202,0.6697689023896012,0
2,34364,35322,989,175,0.32371621382276716,0
0,40874,1780,265,141,0.5091591292096588,0
0,58008,13187,752,194,0.6738141457636807,0
0,39187,16460,206,84,0.5888825052029606,0
0,49199,20711,944,193,0.5762805932836943,0
2,19666,22220,804,34,0.06568083565761729,0
0,12118,5058,1416,99,0.24907683217159182,1
1,23447,60664,1449,164,0.5718392898565416,0
1,34442,18734,427,169,0.01831720721572505,0
1,6765,19158,1168,83,0.25064425511597965,1
2,47073,35031,1380,188,0.22918523943119673,0
0,7862,19614,360,127,0.24985611016083442,1
0,52763,43077,582,62,0.5356094995666537,1
0,58052,49545,1221,97,0.5819603540191924,0
2,4286,17493,670,235,0.9089979943728113,1
1,51514,20747,971,122,0.3860310490262192,0
1,6020,5189,1213,100,0.9265789171431259,0
0,45618,41571,1082,196,0.6519543449841703,1
1,23188,62811,88,186,0.9126603959005557,1
1,36619,29681,1279,118,0.8334721016800484,0
2,31281,37826,400,64,0.6875824434076875,0
2,15235,60120,76,99,0.35610589951895943,0
2,31477,36767,1320,218,0.2411104476852185,0
2,6256,8865,869,223,0.22239143551203222,0
0,3241,55719,1142,244,0.9521738374562813,1
2,53715,36446,935,119,0.9585738431293581,0
1,25253,64686,344,203,0.7248313735243089,0
0,15256,5797,480,126,0.8837959840764773,0
1,26637,47219,198,139,0.9189961630790605,0
1,15050,39132,863,247,0.5115561965193122,0
1,54559,8124,593,208,0.6290596906251722,0
2,29578,8223,138,84,0.4187544979202146,1
2,31932,24075,568,105,0.4184907642852631,0
0,53137,46423,665,80,0.03842891864461462,0
0,20634,50553,1498,144,0.4338214604848055,1
2,47670,29826,45,145,0.6734898115131833,0
1,40629,36840,1051,225,0.42198216610657113,0
0,64209,41577,988,126,0.8724096768769565,1
2,8055,61979,552,222,0.33256295240701816,0
2,48598,2787,168,56,0.13268204656084948,0
2,59466,56322,1068,163,0.8115586907290594,1
1,60692,33639,674,210,0.673947918328592,1
2,26539,36965,964,170,0.2418194823205818,0
2,37508,44565,574,176,0.536451256042233,0
2,37206,64570,444,139,0.40185233859379244,0
2,51624,25989,312,225,0.9388597764356578,0
0,1594,35508,1228,229,0.607332090920629,0
0,33278,33709,573,232,0.1583892611869916,1
2,20312,33109,450,100,0.5021484526369852,0
1,14312,60253,623,115,0.8625568325238507,0
0,30901,29716,336,188,0.6714966700324616,0
2,19913,23807,417,116,0.8424520760986562,1
0,1941,64829,1367,232,0.2503993138656403,0
0,11090,36902,615,251,0.8883513770475419,0
1,30528,17044,565,150,0.7556113318241721,1
2,8006,10226,95,103,0.7289137554380787,0
2,57603,9753,884,254,0.3465410697635244,0
1,40128,3458,935,51,0.8876580637605281,0
1,19086,42617,728,58,0.6379793773932165,1
2,18023,52128,505,39,0.8518394768628025,1
2,62869,9242,1131,116,0.3609714559862718,0
1,10965,454,766,92,0.1456520910643565,0
0,62193,9897,1275,187,0.3323371802203223,0
0,24494,57337,1050,246,0.4552643473751825,0
1,65232,21827,569,229,0.5334073751454924,1
0,46172,10977,995,34,0.5108092157115375,0
1,60845,48641,1095,228,0.5460545924365644,1
0,22157,33587,961,232,0.8417057652229475,0
0,53681,4869,938,38,0.1701012461881699,1
2,45459,16397,1439,219,0.31605129516887087,1
2,5553,31635,1264,35,0.8886084904354514,0
0,18543,12172,1471,164,0.5604582045583303,0
0,13216,24112,1186,170,0.5833898703695721,0
2,9590,33689,382,156,0.47806254461395226,1
2,8250,21305,401,46,0.5489746349861391,0
2,38954,51571,1320,223,0.1980797305601012,1
1,50382,42275,290,44,0.5468668994181283,0
0,22283,39244,1057,149,0.9971731279111168,0
2,35111,28254,317,38,0.5660475729241843,0
0,2165,30981,1023,135,0.04440246560603034,1
1,5651,2018,253,37,0.7964356443506597,0
1,57565,7958,594,215,0.3964754287233876,0
2,48293,48999,46,95,0.15367614850156186,1
1,3714,42189,112,209,0.8625198062266913,1
0,41115,4793,636,61,0.19797325553496758,1
2,4279,55983,328,53,0.9207673898585332,0
0,58457,13238,71,184,0.4417964904426055,0
0,6237,51587,338,187,0.7427908347497,0
1,37900,16252,200,149,0.5469958503385205,1
1,20428,19253,1163,115,0.25662680391522785,0
1,52033,10708,894,198,0.6710901744959188,0
1,26404,34207,1086,226,0.9579125508901479,1
1,26544,28741,666,164,0.7696369667914125,0
2,20197,3544,1303,224,0.6040179965751782,0
0,64321,44136,216,174,0.9906281082658567,0
0,54051,50934,664,121,0.26532666734268473,0
0,25013,48289,990,226,0.06234148790944738,0
0,43594,39112,274,199,0.03213086611593108,1
1,25543,35032,751,152,0.7106878795587983,1
0,61291,42930,355,137,0.8302323647341706,0
2,23463,212,1009,100,0.6351005374845267,0
2,54058,57852,919,126,0.9050265974431984,0
0,12437,55312,1298,108,0.6979760473399205,1
0,16019,46578,533,202,0.37095464640902054,0
2,24583,39796,261,32,0.1812582916298816,1
2,63516,332,168,181,0.9246474785591563,1
1,46375,23245,1342,93,0.10359714999747949,0
2,24537,57197,776,238,0.5429884037464054,0
1,6045,8170,639,185,0.3140079252735116,0
1,33488,57895,472,49,0.2714150075196725,0
1,22143,22105,1436,79,0.6458348519168964,0
1,52563,41902,231,168,0.23123693739103623,0
1,30323,14592,687,32,0.9163651067423957,0
0,40374,31712,613,168,0.40604390909912413,0
2,47247,48894,150,182,0.6773753467296789,0
1,26541,728,1372,138,0.7277557173285846,0
2,14141,21360,631,204,0.6829416946253303,0
2,23274,43823,275,161,0.9034002408930234,1
1,19974,36012,580,173,0.2311308636059981,1
0,18383,49801,82,69,0.08605454468610119,0
1,24620,37864,1354,71,0.05546569726504935,0
0,26554,46578,426,222,0.8778441504750248,0
2,2286,22999,821,113,0.9732870499391821,0
0,55223,64896,1148,47,0.3025265412047127,0
0,59311,10930,34,158,0.6935139235749692,1
0,60570,63053,278,148,0.0089127841717489,0
2,63668,60092,742,124,0.18863151011598778,0
2,41174,14843,1455,234,0.6892743824616144,1
0,23639,23520,1302,165,0.06588713931523282,0
0,4351,17394,633,34,0.4685100499198245,0
1,55806,34319,1303,45,0.6625832643739489,1
0,30792,8996,1088,97,0.7659581713055174,0
1,65442,28657,832,126,0.45381591372437047,0
0,29874,47935,350,234,0.630284039496343,1
1,52435,40261,184,117,0.5395756295620613,1
2,43812,45270,1236,226,0.0523057720833211,1
0,51433,15568,1444,145,0.7428046872598465,1
0,17872,28841,1417,190,0.17236191588537497,0
0,47854,52554,1108,192,0.03180553123384133,1
0,53470,23832,406,247,0.4511679162883723,1
1,40566,13266,1458,160,0.8656375872815103,1
0,16184,5425,1073,203,0.15082943766102863,1
2,57607,20626,1309,46,0.012857534116974989,0
2,35022,14087,347,68,0.10997923576541713,1
0,28254,29188,1260,186,0.3636591143316067,0
2,10100,35930,339,207,0.5801718699913038,0
0,4829,61893,418,58,0.19301213398589256,0
0,32109,20540,124,43,0.8019640050225706,1
2,56595,56631,715,98,0.7532971205490819,0
0,15739,25104,1036,61,0.6958636165986992,1
2,63796,27875,349,127,0.487469808315544,0
1,6774,9216,679,246,0.36521695513398533,0
0,49419,39386,1090,225,0.37558662096481077,0
1,14256,65490,618,166,0.5030705349557333,0
2,54032,22045,840,65,0.07731468688265453,1
1,36927,11927,660,63,0.6823054628670612,0
1,7977,47861,333,148,0.35150754400930206,0
2,33117,31502,1190,70,0.2247587779386886,0
1,26524,29775,481,127,0.2783270704986389,0
1,23442,25009,505,202,0.18029428528621783,0
2,54765,48929,429,202,0.9015680855277886,0
1,35338,17561,46,237,0.16903751636255104,0
2,49249,24341,1072,162,0.8829261188948626,0
1,23473,24977,290,205,0.5722433959684513,0
2,18502,48407,705,191,0.8674509553888602,1
2,36203,59449,520,74,0.47406421690551215,1
1,52793,27627,1296,112,0.9276337194810736,0
1,47905,32721,404,34,0.21149074360835018,0
1,26362,35002,79,105,0.5546917528472746,0
0,27923,59790,1150,148,0.12583869051366914,0
0,5169,4701,239,94,0.44722028520236434,0
0,33125,43796,1484,142,0.5699036966468424,0
2,3799,63646,790,71,0.605675222173172,0
1,46985,55059,583,49,0.36552879690727913,1
2,32671,7861,565,98,0.07633564216645283,1
0,46643,7527,115,134,0.6553260713826526,0
1,46862,38328,1008,221,0.4884318604532778,0
2,56804,39501,1132,169,0.1368788666372569,0
1,20563,2514,847,211,0.9358759694060996,0
2,37762,7831,250,232,0.9556686621834433,0
1,58148,14782,987,77,0.8566062798313689,1
0,27640,59118,294,86,0.8438683005175974,1
0,15143,56097,265,205,0.09867127586805613,0
1,26183,7911,130,106,0.9934201095825678,1
2,55591,15848,253,219,0.4003806798637316,0
0,38123,5650,1321,128,0.16312111586711353,0
0,11319,50249,436,57,0.8121017282172212,0
0,35734,9121,697,186,0.22573076846305784,0
1,62823,1952,1171,197,0.5261753206695915,1
1,56202,65213,1280,53,0.12801606520343634,1
2,25709,10166,822,57,0.4746457232758885,0
2,50367,14353,638,245,0.5581414934029423,1
2,26503,9747,1171,228,0.4459239599513427,1
1,47196,43739,726,194,0.069486824752653,0
1,34653,28998,870,225,0.48493903058276333,0
2,56887,41955,1437,104,0.4689428434408158,1
2,43067,24184,494,146,0.26162027729067383,1
1,18057,8805,674,82,0.9216015996574365,0
2,37926,27170,414,144,0.4177923326982561,0
0,45595,596,130,177,0.8641157961963851,0
1,16432,29593,109,202,0.1096638296334419,1
2,57763,40644,782,43,0.31887728420618144,1
1,59004,58186,1323,34,0.17633085376804003,0
0,18444,62666,1376,241,0.4084107878481925,0
1,17375,20824,1267,151,0.1116366871708786,1
1,5155,5973,1144,166,0.4410348058456205,0
1,52324,15883,151,165,0.3538707434482363,1
1,45849,859,1056,113,0.2233150472740052,0
0,12373,5520,476,76,0.642179411950315,0
1,61955,23770,1484,158,0.950911488147832,0
1,45278,25021,117,117,0.20711347354958687,0
2,39249,42749,1163,146,0.7117908398984504,1
1,39871,37086,312,198,0.742380889256743,1
2,13477,19839,1044,210,0.4981205164258624,1
0,19838,44913,591,40,0.897668346100567,0
0,19287,12880,269,182,0.9663900660648401,0
0,13182,33799,671,43,0.3622464520538494,0
0,16759,42256,168,147,0.6510332980031875,1
2,16854,24291,1438,119,0.6622126179001122,0
1,48917,46074,63,93,0.40363552625250454,1
0,45697,10256,1087,135,0.3167910744946142,1
1,62494,1448,1121,104,0.9337441982278135,0
2,24950,43006,1269,108,0.7899815493126753,1
2,46090,29196,181,71,0.11446456597454413,1
2,35803,2851,272,213,0.11988407158488701,1
0,4397,28401,151,240,0.9225427688528266,0
1,11359,59413,1491,166,0.08140976502692443,1
1,24765,11954,493,48,0.6884213462431659,0
1,11716,40875,1152,150,0.2267582469444117,0
2,48319,59620,725,157,0.035185342741618664,0
0,46565,23536,1078,209,0.0596375460800902,0
2,35081,10001,294,55,0.37352210367956207,1
2,2471,9504,206,33,0.07758845168936468,0
1,20607,56105,968,123,0.596639199933454,0
2,23789,15494,262,242,0.6472545113740756,0
1,60311,4056,283,192,0.37346857198304895,1
0,24930,38171,541,180,0.7428780757183507,1
1,56235,59796,982,148,0.4900425201695773,0
0,20591,32409,802,233,0.4302285034020821,1
1,15163,42050,1130,84,0.40698808879012505,0
2,47549,34441,554,77,0.43110648734553736,0
2,39254,28252,229,76,0.9678876499344186,1
0,53392,4533,65,40,0.6814070600384377,1
0,20544,4925,45,37,0.3152098471611,1
0,20726,48038,1309,82,0.7338598702055653,0
1,52958,12547,194,150,0.330267388322916,0
1,26590,26580,1354,66,0.1257149077846762,0
0,8681,6086,341,113,0.4753603574556491,0
2,38712,12391,1178,212,0.7510238591384141,0
1,31158,13281,74,178,0.3776599108873212,0
1,11369,24119,1199,228,0.8691741420473429,0
1,56500,4865,687,56,0.38695270408775984,0
0,56503,42085,166,170,0.34983902550673174,0
0,42209,33990,618,233,0.9982439138632666,1
0,50952,35629,39,48,0.4824720229900654,0
0,28437,26850,1312,67,0.8052212097135061,1
0,6232,27567,352,249,0.8049880560599225,0
2,34479,10703,926,254,0.9263693370991793,0
2,50705,41197,963,127,0.08489505445030365,0
0,29042,15386,930,52,0.2712202764268423,0
1,55243,9337,420,49,0.767748091546434,0
0,47015,65422,969,219,0.5626014923985649,1
2,9104,31226,1349,177,0.5596149423545339,0
2,22926,36022,47,32,0.1662153018702408,0
1,52329,3783,486,173,0.2811530141139298,0
2,10510,23342,1303,167,0.5213340857167345,1
0,39886,49919,1001,225,0.2771813646746212,0
1,57150,51834,120,82,0.21028279269871508,1
0,59894,24095,570,110,0.08775605576999612,0
0,22182,49112,821,219,0.15572601192334556,0
1,41484,23867,372,193,0.768867762491973,0
0,44880,54239,1343,67,0.7187791805847155,1
2,36895,57117,315,93,0.0458336843487116,1
0,36232,19050,372,160,0.20328408534411102,0
1,21543,42720,927,116,0.5604553467327162,0
1,32403,30993,1173,73,0.32262784423677315,0
1,29402,49038,1038,32,0.8232496026795305,0
0,40916,14568,1199,243,0.7849893076621469,0
1,55377,44452,1117,85,0.8915805579581095,1
1,51020,60160,1385,206,0.5629312315051159,1
0,15055,3514,1133,131,0.3520764798090985,0
2,15560,49648,474,70,0.6060646961849178,1
0,1470,13336,731,189,0.0891366797454578,1
1,37707,44141,999,38,0.009586017741467612,0
1,49579,38591,1375,181,0.017093520120355365,0
0,53285,14838,758,152,0.40754293793421614,1
2,18642,12123,996,209,0.22807759410306327,0
1,7611,34841,1391,76,0.1573377058000477,0
1,63814,64699,252,105,0.6153260156181705,1
1,32504,31008,1043,151,0.9950950426131812,0
0,34018,56948,121,103,0.17775320361553637,1
1,21551,41298,972,250,0.5464214242139388,0
2,24593,53102,500,169,0.11972751399989379,0
1,12175,55186,1257,173,0.934236441072139,0
1,6582,27685,127,77,0.29175516857058503,0
2,60198,26394,1208,154,0.8783398200433784,0
1,45763,57481,992,149,0.28307643925037684,0
0,33978,51708,723,106,0.8060524801867195,1
0,48472,22755,354,37,0.2093813334457727,0
0,48351,20800,105,52,0.2927894301534444,0
2,44861,38728,753,221,0.19247536540363397,0
1,36327,9108,894,178,0.26425987784965566,0
0,35724,62646,1467,134,0.8348657553333153,0
2,28524,5994,383,119,0.6390324975466974,0
1,59216,30806,79,241,0.40587966883722404,1
2,3056,28115,1293,130,0.9715210270821563,0
0,2276,37790,579,93,0.46486152712957374,1
0,6533,59445,136,138,0.9697599712588514,0
0,38866,52060,893,114,0.19658692291086022,0
2,14924,52067,934,212,0.9046384271149494,0
2,63480,46315,987,183,0.013822204097494684,1
0,15547,42943,1018,87,0.5453032023657575,0
2,2905,16139,63,221,0.4230523942920148,0
0,34061,53023,528,193,0.5250878454719793,0
0,2654,61873,1208,53,0.553444831947699,1
1,21813,44528,1411,99,0.38903135406771094,1
2,61571,9191,1335,216,0.9981978468860951,0
0,23547,26724,868,41,0.9765071903006258,0
0,18982,54238,936,97,0.9617453767045951,1
2,47175,12887,917,39,0.9790850473765879,1
1,49944,55699,818,154,0.7930123987693986,0
1,44876,16780,895,69,0.9885904790263319,1
0,2719,28175,305,154,0.8923602252751419,0
2,53434,29087,1247,93,0.4159326370324211,0
1,15845,17323,703,187,0.7847771083834078,0
2,4286,42597,838,169,0.9120678451256258,0
2,2469,60069,140,76,0.7126060735870925,0
0,56439,35279,964,96,0.42278234056560393,0
1,58587,53789,1037,98,0.06579024201642525,0
0,17460,18034,1231,168,0.8096969370605877,0
1,10973,20075,926,164,0.9527428731264703,0
1,55746,63386,32,137,0.36246326022992637,0
1,24987,3436,622,169,0.1519060509889396,1
1,51842,35970,219,171,0.3265038394705557,0
1,30956,53332,605,113,0.5826223581782463,0
2,7925,28943,1499,89,0.31692900328223617,0
0,52961,59636,467,180,0.6106187301963539,1
2,34511,29060,860,180,0.9668522322446306,0
1,9621,57558,1114,224,0.6707344933076825,0
0,65119,47922,609,162,0.3626593662856217,1
1,65532,52390,1173,100,0.9357529714715349,0
0,64933,53015,908,120,0.5656352687011439,0
2,7879,32827,62,95,0.12837239853256666,0
0,19702,30298,539,208,0.49898100519376154,1
0,9287,43891,1056,103,0.6536364449100499,0
0,64317,21323,744,48,0.8382543658167385,1
0,48312,35740,642,104,0.9364767867076473,0
0,60421,9720,1007,191,0.3174161337163852,1
1,26829,14018,822,101,0.1555123640790368,0
0,27167,8315,554,144,0.07382864219388241,0
0,12898,28296,321,52,0.7383546027082828,0
2,28553,9629,546,166,0.795158252715432,0
0,21890,42123,1158,38,0.40937312692816685,0
2,15103,11493,479,142,0.395925407173629,1
1,50874,36114,851,58,0.9542370316546319,0
0,8267,51639,524,39,0.9166813250803274,0
2,30896,15358,1351,232,0.23326590191704322,0
2,10042,33330,951,59,0.7808076477498073,0
1,56094,20366,344,238,0.62270039623294,1
0,50524,39030,598,225,0.1542227391196399,0
0,55550,1738,780,230,0.3567710470865604,0
2,13124,65507,1218,78,0.17747294130748248,0
0,58045,9097,870,241,0.2951560388218386,0
2,50483,19939,1215,117,0.6153011757733516,0
0,20824,12683,979,41,0.37526547104343966,0
2,63614,59071,521,145,0.3940595198358572,1
0,64424,27500,353,64,0.5396472926171898,1
1,27934,44492,303,166,0.08722413884172275,1
0,30461,44867,494,162,0.7387972898494148,1
0,38612,63157,1097,45,0.40170953341334004,0
1,12025,41895,1463,203,0.4803970882023202,0
0,47699,46158,651,77,0.9742997288546317,1
1,20966,56248,722,92,0.344366888318254,1
0,21886,62876,428,195,0.6482189359739254,0
2,12693,41035,1001,44,0.3925043172958107,0
2,56707,295,1347,47,0.8942827186836781,0
0,54796,32537,578,239,0.8467562669950395,0
0,16940,24597,241,164,0.24162427176238432,0
0,11902,32650,177,248,0.6917457126109006,1
2,4009,11435,367,69,0.06517199589720701,0
0,33393,58383,1202,209,0.9631853895298901,0
2,9136,38099,908,69,0.34899010801415753,0
1,42259,4656,941,134,0.831842772584767,0
2,19955,17494,1278,87,0.31843136607730993,0
2,28364,46229,681,94,0.632770741196872,1
1,1360,3772,424,151,0.9835907919843317,1
2,43957,8564,1300,79,0.8767498631316303,1
0,20387,55276,696,136,0.1603659099049074,0
0,46560,56800,608,249,0.5474884331494713,0
2,4992,62258,577,90,0.34853178211469016,1
0,34702,17559,924,108,0.4343388516482918,0
2,52172,33933,1090,203,0.3351831292187686,1
